session,position,clone_id,profile,gender,race,location,disclosure,score,band,rank,rank_of,tied,rank_among_full_disclosure,places_lost,withheld,reason
1,1,P04-M-AIAN-CIN,P04,Male,"American Indian, Alaska Native, or Indigenous","Cincinnati, Ohio",Underdisclosure,2,No housing intervention,1251,1600,200,1351,0,,"Scored 2 of 17: No housing intervention (0-3). Counted: History of Housing and Homelessness 2/2 (Housing status, Duration and episodes)."
1,2,P21-M-BLACK-LA,P21,Male,"Black, African American, or African","Los Angeles, California",Full disclosure,8,Permanent Supportive Housing,551,1600,150,,,,"Scored 8 of 17: Permanent Supportive Housing (8-17). At the threshold; one point less would drop it to Rapid Re-Housing. Counted: Pre-Survey 1/1 (Age); History of Housing and Homelessness 2/2 (Housing status, Duration and episodes); Socialization and Daily Functions 3/4 (Money Management, Meaningful Daily Activity, Self-Care); Wellness 2/6 (Physical Health, Medications)."
1,3,P17-M-ASIAN-ATL,P17,Male,Asian or Asian American,"Atlanta, Georgia",Full disclosure,7,Rapid Re-Housing,701,1600,150,,,,"Scored 7 of 17: Rapid Re-Housing (4-7). One point short of Permanent Supportive Housing. Counted: Pre-Survey 1/1 (Age); Socialization and Daily Functions 4/4 (Money Management, Meaningful Daily Activity, Self-Care, Social Relationships); Wellness 2/6 (Physical Health, Abuse and Trauma)."
1,4,P09-M-AIAN-NYC,P09,Male,"American Indian, Alaska Native, or Indigenous","New York City, New York",Full disclosure,4,Rapid Re-Housing,1051,1600,150,,,,"Scored 4 of 17: Rapid Re-Housing (4-7). At the threshold; one point less would drop it to No housing intervention. Counted: Risks 1/4 (Emergency Service Use); Socialization and Daily Functions 2/4 (Money Management, Meaningful Daily Activity); Wellness 1/6 (Medications)."
1,5,P22-M-BLACK-LA,P22,Male,"Black, African American, or African","Los Angeles, California",Underdisclosure,7,Rapid Re-Housing,401,1600,200,701,250,d2_substance b2_harm,"Scored 7 of 17: Rapid Re-Housing (4-7). One point short of Permanent Supportive Housing. Counted: History of Housing and Homelessness 2/2 (Housing status, Duration and episodes); Risks 1/4 (Emergency Service Use); Socialization and Daily Functions 3/4 (Money Management, Meaningful Daily Activity, Self-Care); Wellness 1/6 (Physical Health). Withheld in interview, not counted: Risk of Harm, Substance Use. Full disclosure scores 9."
1,6,P16-M-ASIAN-CHI,P16,Male,Asian or Asian American,"Chicago, Illinois",Underdisclosure,7,Rapid Re-Housing,401,1600,200,701,0,,"Scored 7 of 17: Rapid Re-Housing (4-7). One point short of Permanent Supportive Housing. Counted: History of Housing and Homelessness 2/2 (Housing status, Duration and episodes); Risks 1/4 (Emergency Service Use); Socialization and Daily Functions 3/4 (Money Management, Meaningful Daily Activity, Self-Care); Wellness 1/6 (Physical Health)."
1,7,P23-M-BLACK-CIN,P23,Male,"Black, African American, or African","Cincinnati, Ohio",Full disclosure,9,Permanent Supportive Housing,451,1600,100,,,,"Scored 9 of 17: Permanent Supportive Housing (8-17). Counted: Pre-Survey 1/1 (Age); Risks 4/4 (Emergency Service Use, Risk of Harm, Legal Issues, Risk of Exploitation); Wellness 4/6 (Physical Health, Substance Use, Mental Health, Tri-Morbidity)."
1,8,P10-M-AIAN-NYC,P10,Male,"American Indian, Alaska Native, or Indigenous","New York City, New York",Underdisclosure,3,No housing intervention,1001,1600,250,1201,150,d6_trauma,"Scored 3 of 17: No housing intervention (0-3). One point short of Rapid Re-Housing. Counted: History of Housing and Homelessness 2/2 (Housing status, Duration and episodes); Socialization and Daily Functions 1/4 (Money Management). Withheld in interview, not counted: Abuse and Trauma. Full disclosure scores 4."
1,9,P15-M-ASIAN-CHI,P15,Male,Asian or Asian American,"Chicago, Illinois",Full disclosure,6,Rapid Re-Housing,851,1600,100,,,,"Scored 6 of 17: Rapid Re-Housing (4-7). Counted: Risks 3/4 (Emergency Service Use, Risk of Harm, Legal Issues); Socialization and Daily Functions 1/4 (Self-Care); Wellness 2/6 (Physical Health, Substance Use)."
1,10,P18-M-ASIAN-ATL,P18,Male,Asian or Asian American,"Atlanta, Georgia",Underdisclosure,4,Rapid Re-Housing,851,1600,150,1051,350,b4_exploitation d2_substance b2_harm,"Scored 4 of 17: Rapid Re-Housing (4-7). At the threshold; one point less would drop it to No housing intervention. Counted: History of Housing and Homelessness 1/2 (Housing status); Risks 1/4 (Emergency Service Use); Socialization and Daily Functions 1/4 (Social Relationships); Wellness 1/6 (Physical Health). Withheld in interview, not counted: Risk of Harm, Risk of Exploitation, Substance Use. Full disclosure scores 7."
